Feature,RÂ²,RMSE,Correlation,P_value,Coefficient,Intercept,Significant
SoilComposition.SiltClay.(%),0.24845714299700217,0.8669157150513526,-0.4984547552155583,1.622698887583176e-06,-0.4984547552155586,2.895585195392831e-17,True
SoilComposition.Gravel.(%),0.2464393499363302,0.8680787119055908,0.4964265806101946,1.8156057463807423e-06,0.4964265806101948,-2.2908960126140275e-17,True
AtterbergLimits.LS.%,0.1189305224707603,0.9386530123156478,-0.34486304886253094,0.0014092300389218736,-0.34486304886253083,6.085016578500845e-18,True
AtterbergLimits.PI.%,0.07923921553240776,0.9595628090268986,-0.28149461013029686,0.009937363612394275,-0.28149461013029686,4.2496204722100135e-17,True
CompactionT180.MDD.Kgm3,0.0726581124162079,0.9629859228378118,0.26955168783780203,0.013728629819227628,0.269551687837802,1.2303273733390134e-16,True
AtterbergLimits.LL.%,0.0462830173326898,0.976584344881337,-0.21513488172002637,0.05079783300171174,-0.21513488172002634,-5.1688471412526756e-17,False
Swell.(%),0.045327161338914124,0.9770736096431455,-0.21290176452747903,0.053306607045159576,-0.21290176452747897,-1.429453686877884e-17,False
SoilComposition.Sand.(%),0.009154625876764189,0.9954121629371603,-0.09567980913841806,0.38954585230337374,-0.09567980913841806,2.032340430004997e-17,False
AtterbergLimits.PL.%,0.004431344082745925,0.9977818679036285,-0.06656834144506128,0.5498847690565194,-0.06656834144506134,2.6935956448648948e-17,False
CompactionT180.OMC.(%),0.0007108792185730461,0.9996444971995929,-0.026662318327057316,0.810900893889067,-0.02666231832705728,1.411703723517102e-17,False
