SampleNo.,Grading.%PassingBSSieveSize(mm).20,Grading.%PassingBSSieveSize(mm).10,Grading.%PassingBSSieveSize(mm).5,Grading.%PassingBSSieveSize(mm).2,Grading.%PassingBSSieveSize(mm).0.425,Grading.%PassingBSSieveSize(mm).0.075,AtterbergLimits.LL.%,AtterbergLimits.PL.%,AtterbergLimits.PI.%,AtterbergLimits.LS.%,CompactionT180.MDD.Kgm3,CompactionT180.OMC.(%),CBR.4daysSoak.(%),Swell.(%),SoilComposition.Gravel.(%),SoilComposition.Sand.(%),SoilComposition.SiltClay.(%),CBR_Bin
1,100,77,57,44,29,24,37,25,12,6,1690,16.1,30,0.1,46,17,37,Medium
2,100,78,60,49,20,11,47,33,14,7,1780,18.7,25,0.1,50,15,35,Medium
3,100,100,99,92,80,76,51,29,22,11,1485,13.6,8,0.3,8,16,76,Low
4,100,89,76,62,47,32,43,28,15,8,1605,19.4,17,0.2,38,30,32,Medium
5,100,84,67,52,35,30,46,32,14,7,1650,18.5,24,0.2,48,22,30,Medium
6,100,93,79,63,47,39,50,32,18,9,1490,19.9,15,0.15,37,24,39,Medium
7,100,97,91,81,62,49,52,31,21,10,1515,19.4,12,0.2,19,32,49,Medium
8,100,95,89,82,71,55,53,34,19,9,1470,17.3,16,0.2,18,27,55,Medium
9,100,77,63,52,31,26,49,37,12,7,1650,10.1,7,0.2,48,36,26,Low
10,100,77,57,44,29,24,37,26,11,6,1715,10.5,8,0.1,56,20,24,Low
11,100,78,60,49,20,11,47,35,12,6,1765,11.7,17,0.1,51,38,11,Medium
12,100,75,61,45,27,19,49,33,16,8,1540,16.0,45,0.2,55,26,19,High
13,100,75,61,45,27,19,49,36,13,6,1540,16.0,160,0.1,55,26,19,Very_High
14,100,75,61,45,27,19,50,40,10,5,1540,16.0,190,0.1,55,26,19,Very_High
15,100,75,61,45,27,19,52,44,8,4,1540,16.0,220,0.05,55,26,19,Very_High
16,100,75,61,45,27,19,50,44,6,3,1540,16.0,260,0.05,55,26,19,Very_High
17,100,80,70,63,40,27,39,22,17,8,1865,10.2,30,0.1,37,36,27,Medium
18,100,76,57,46,32,27,49,29,20,10,1646,18.0,30,0.2,54,19,27,Medium
19,100,90,68,50,34,30,41,29,12,6,1775,15.6,35,0.1,50,20,30,High
20,100,88,65,50,39,31,50,30,20,10,1685,16.4,29,0.2,50,19,31,Medium
21,100,96,88,81,66,49,82,34,48,9,1357,25.3,15,0.2,19,32,49,Medium
22,100,89,66,51,40,32,48,28,20,10,1990,13.8,20,0.2,49,19,32,Medium
23,100,89,78,67,49,31,46,38,8,4,1440,20.0,15,0.1,33,36,31,Medium
24,100,93,73,57,39,30,41,28,13,6,1681,16.2,23,0.1,43,27,30,Medium
25,100,87,62,41,31,23,42,26,16,8,1524,12.7,11,0.1,59,18,23,Medium
26,100,82,63,48,33,25,40,25,15,7,1652,13.7,22,0.1,52,23,25,Medium
27,100,85,60,49,35,24,48,29,19,10,1580,20.6,26,0.2,51,25,24,Medium
28,100,90,66,44,21,14,47,27,20,10,1771,15.0,28,0.2,56,30,14,Medium
29,100,75,50,38,27,19,35,20,15,8,1465,12.7,26,0.1,62,19,19,Medium
30,100,75,50,38,27,19,35,20,15,8,1601,14.8,35,0.1,62,19,19,High
31,100,82,56,45,36,28,52,30,22,11,1574,20.6,30,0.3,55,17,28,Medium
32,100,81,63,53,42,30,32,20,12,6,1944,12.5,26,0.2,47,23,30,Medium
33,100,95,79,68,57,43,39,27,12,6,1340,20.8,15,0.2,32,25,43,Medium
34,100,86,73,60,39,30,48,32,16,8,1774,16.2,30,0.2,40,30,30,Medium
35,100,86,73,61,41,32,41,35,6,3,1440,19.5,40,0.1,39,29,32,High
36,100,97,85,77,69,65,40,25,15,8,1360,13.8,10,0.2,23,12,65,Low
37,100,88,75,61,45,40,73,52,21,11,1590,11.7,11,0.2,39,21,40,Medium
38,100,90,67,48,28,25,45,30,15,7,1740,12.4,35,0.1,52,23,25,High
39,100,98,93,74,50,44,55,40,15,8,1395,18.4,10,0.2,26,30,44,Low
40,100,100,99,90,75,65,75,50,25,13,1120,27.3,1,2.6,10,25,65,Low
41,100,83,59,43,33,27,53,34,19,9,1883,16.3,26,0.2,57,16,27,Medium
42,100,80,70,63,40,27,39,22,17,8,1865,10.2,30,0.1,37,36,27,Medium
43,100,89,66,51,40,32,48,28,20,10,1990,13.8,20,0.2,49,19,32,Medium
44,100,88,65,50,39,31,50,30,20,10,1685,16.4,29,0.2,50,19,31,Medium
45,100,96,88,81,66,49,82,34,48,9,1357,25.3,15,0.2,19,32,49,Medium
46,100,89,78,67,49,31,46,38,8,4,1440,20.0,15,0.1,33,36,31,Medium
47,100,61,21,10,7,6,45,27,18,9,1764,12.5,35,0.3,90,4,6,High
48,100,99,98,97,94,87,52,29,23,11,1470,13.2,4,0.3,3,10,87,Low
49,100,99,90,87,79,68,51,30,21,10,1550,12.0,5,0.2,13,19,68,Low
50,100,91,79,71,57,47,50,31,19,9,1347,14.9,7,0.2,29,24,47,Low
51,100,93,85,76,63,51,47,27,20,10,1538,14.5,6,0.2,24,25,51,Low
52,100,96,89,81,73,64,50,27,23,11,1320,25.2,8,0.2,19,17,64,Low
53,100,86,70,51,20,17,40,27,13,6,1682,15.5,30,0.1,49,34,17,Medium
54,100,100,98,91,84,78,58,32,26,13,1273,27.2,5,0.3,9,13,78,Low
55,100,100,100,86,60,48,64,39,25,12,1269,28.0,5,0.3,14,38,48,Low
56,100,86,73,59,33,24,42,27,15,8,1682,15.5,35,0.2,41,35,24,High
57,100,89,82,76,58,49,52,40,12,6,1448,19.7,30,0.3,24,27,49,Medium
58,100,94,88,84,69,50,44,12,32,16,1552,15.3,6,0.3,16,34,50,Low
59,100,86,75,55,33,22,44,27,17,9,1827,15.0,30,0.2,45,33,22,Medium
60,100,76,46,33,15,6,47,27,20,10,1644,21.0,30,0.2,67,27,6,Medium
61,100,76,61,50,33,14,44,27,17,8,1782,11.5,10,0.2,50,36,14,Low
62,100,85,60,49,35,24,48,29,19,10,1580,20.6,28,0.2,51,25,24,Medium
63,100,85,60,49,35,24,46,31,15,7,1580,20.6,60,0.1,51,25,24,High
64,100,85,60,49,35,24,43,32,11,5,1580,20.6,100,0.1,51,25,24,High
65,100,85,60,49,35,24,40,31,9,4,1580,20.6,140,0.05,51,25,24,Very_High
66,100,85,60,49,35,24,39,33,6,3,1580,20.6,170,0.05,51,25,24,Very_High
67,100,88,73,57,39,31,60,36,24,7,1622,13.0,28,0.2,43,26,31,Medium
68,100,80,57,51,42,31,48,31,17,9,1611,16.5,30,0.2,49,20,31,Medium
69,100,93,73,61,48,39,54,35,19,10,1511,19.4,15,0.1,39,22,39,Medium
70,100,90,59,34,23,18,48,27,21,11,1607,17.5,15,0.2,66,16,18,Medium
71,100,97,84,65,35,24,40,28,12,6,1660,16.0,24,0.1,35,41,24,Medium
